run_at,group,target,grades,reg_target,task,reg_lambda,eval,arch,hidden,seed,n_train_reg,n_val_reg,reg_mu,reg_sd,mae,rmse,r2,spearman,macro_f1,qwk,best_epoch,tag
2026-09-10 11:14,cheek,pore,3,cheek_moisture,reg,1.0,standard,dinov3_s,512,1,15295,1908,62.4162,10.2306,7.7363,10.1144,0.2705,0.55,0.2855,0.0663,8,회귀/수분/reg
2026-09-10 11:14,cheek,pore,3,cheek_moisture,both,1.0,standard,dinov3_s,512,1,15295,1908,62.4162,10.2306,7.8084,10.2724,0.2475,0.5352,0.5725,0.4451,6,회귀/수분/both
2026-09-10 11:15,cheek,pore,3,cheek_moisture,both,0.3,standard,dinov3_s,512,1,15295,1908,62.4162,10.2306,7.8053,10.2469,0.2513,0.5265,0.5722,0.4442,3,회귀/수분/both-l0.3
2026-09-10 11:15,cheek,pore,3,cheek_pore,reg,1.0,standard,dinov3_s,512,1,15295,1908,910.7524,467.054,205.3376,256.0237,0.5179,0.7666,0.2676,0.0625,18,회귀/모공개수/reg
2026-09-10 11:15,cheek,pore,3,cheek_pore,both,1.0,standard,dinov3_s,512,1,15295,1908,910.7524,467.054,207.2602,260.4337,0.5011,0.7364,0.5757,0.4471,2,회귀/모공개수/both
2026-09-10 11:16,cheek,pore,3,cheek_pore,both,0.3,standard,dinov3_s,512,1,15295,1908,910.7524,467.054,207.4657,260.1305,0.5023,0.728,0.5688,0.4361,2,회귀/모공개수/both-l0.3
2026-09-10 11:16,eye,wrinkle,3,perocular_wrinkle_Ra,reg,1.0,standard,dinov3_s,512,1,14449,1810,21.8363,5.5666,3.0978,4.1079,0.5197,0.7396,0.3726,0.1993,8,회귀/눈가Ra/reg
2026-09-10 11:17,eye,wrinkle,3,perocular_wrinkle_Ra,both,1.0,standard,dinov3_s,512,1,14449,1810,21.8363,5.5666,3.1095,4.0697,0.5286,0.7296,0.6269,0.7901,11,회귀/눈가Ra/both
2026-09-10 11:17,cheek,pore,3,cheek_moisture,reg,1.0,standard,dinov3_s,512,2,15295,1908,62.4162,10.2306,7.7342,10.1814,0.2608,0.5488,0.3581,0.1585,7,회귀/수분/reg
2026-09-10 11:18,cheek,pore,3,cheek_moisture,both,1.0,standard,dinov3_s,512,2,15295,1908,62.4162,10.2306,7.8224,10.2507,0.2507,0.5283,0.5785,0.4607,3,회귀/수분/both
2026-09-10 11:18,cheek,pore,3,cheek_moisture,both,0.3,standard,dinov3_s,512,2,15295,1908,62.4162,10.2306,7.891,10.2925,0.2446,0.5266,0.572,0.4531,3,회귀/수분/both-l0.3
2026-09-10 11:18,cheek,pore,3,cheek_pore,reg,1.0,standard,dinov3_s,512,2,15295,1908,910.7524,467.054,205.3311,257.012,0.5142,0.769,0.3582,0.1776,15,회귀/모공개수/reg
2026-09-10 11:19,cheek,pore,3,cheek_pore,both,1.0,standard,dinov3_s,512,2,15295,1908,910.7524,467.054,224.1061,274.6735,0.4451,0.7446,0.5773,0.4515,3,회귀/모공개수/both
2026-09-10 11:19,cheek,pore,3,cheek_pore,both,0.3,standard,dinov3_s,512,2,15295,1908,910.7524,467.054,225.5438,275.1116,0.4433,0.7441,0.5763,0.4586,3,회귀/모공개수/both-l0.3
2026-09-10 11:19,eye,wrinkle,3,perocular_wrinkle_Ra,reg,1.0,standard,dinov3_s,512,2,14449,1810,21.8363,5.5666,3.1,4.0382,0.5358,0.7417,0.3569,0.1161,12,회귀/눈가Ra/reg
2026-09-10 11:20,eye,wrinkle,3,perocular_wrinkle_Ra,both,1.0,standard,dinov3_s,512,2,14449,1810,21.8363,5.5666,3.1208,4.0753,0.5273,0.7281,0.6231,0.7966,14,회귀/눈가Ra/both
2026-09-10 11:21,cheek,pore,3,cheek_moisture,reg,1.0,standard,dinov3_s,512,3,15295,1908,62.4162,10.2306,7.8111,10.1481,0.2656,0.5471,0.284,0.0017,12,회귀/수분/reg
2026-09-10 11:21,cheek,pore,3,cheek_moisture,both,1.0,standard,dinov3_s,512,3,15295,1908,62.4162,10.2306,7.7505,10.1592,0.264,0.5362,0.5704,0.4456,6,회귀/수분/both
2026-09-10 11:21,cheek,pore,3,cheek_moisture,both,0.3,standard,dinov3_s,512,3,15295,1908,62.4162,10.2306,7.8089,10.2228,0.2548,0.5293,0.576,0.4589,6,회귀/수분/both-l0.3
2026-09-10 11:21,cheek,pore,3,cheek_pore,reg,1.0,standard,dinov3_s,512,3,15295,1908,910.7524,467.054,197.1321,247.326,0.5501,0.7675,0.2576,-0.0531,8,회귀/모공개수/reg
2026-09-10 11:22,cheek,pore,3,cheek_pore,both,1.0,standard,dinov3_s,512,3,15295,1908,910.7524,467.054,206.363,258.6723,0.5079,0.7526,0.5673,0.4411,6,회귀/모공개수/both
